,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK
256390,4050424000,4050138500,4050138100,1,106,000,1116,중산간서로,0,0,0,60,0,0,0,0,365.37625928753,20230519,,,
256392,4050511100,4050152000,4050151600,1,107,000,-,하가로,0,0,0,50,0,0,0,0,349.643836814285,20230519,,,
256396,4060305200,4060109300,4060109500,1,106,000,1121,사계로114번길,0,0,0,50,0,0,0,0,681.825291114494,20230519,,,
256397,4060400200,4060132500,4060133900,1,106,000,1136,중산간동로,0,0,0,50,0,0,0,0,901.09794796183,20230519,,,
256404,4050203500,4050066000,4050066200,1,107,000,-,선반로,0,0,0,30,0,0,0,0,140.48970430203,20230519,,,
256406,4060516100,4060171900,4060171700,1,107,000,-,수송로,0,0,0,50,0,0,0,0,436.551391790984,20230519,,,
256420,4050203900,4050066100,4050067600,2,107,000,-,탑동로,0,0,0,60,0,0,0,0,180.660932615183,20230519,,,
256424,4050203700,4050066100,4050066600,1,107,000,-,북성로,0,0,0,30,0,0,0,0,235.718776362909,20230519,,,
256436,4050203600,4050066200,4050066000,1,107,000,-,선반로,0,0,0,30,0,0,0,0,140.363981021966,20230519,,,
256437,4050203800,4050066600,4050066100,1,107,000,-,북성로,0,0,0,30,0,0,0,0,239.257407348152,20230519,,,
256438,4050204100,4050066100,4050067600,2,107,000,-,탑동로,1,0,0,60,0,0,0,0,184.272574084209,20230519,,,
256506,4060361700,4060138300,4060139600,1,107,000,-,남원체육관로,0,0,0,50,0,0,0,0,434.872913796931,20230519,,,
256507,4060428700,4060118000,4060117900,2,106,000,1135,평화로,0,0,0,80,0,0,0,0,161.156660399612,20230519,,,
256537,4050001801,4050000600,4050000601,1,106,000,1112,비자림로,0,0,0,60,0,0,0,0,634.979151486591,20230519,,,
256538,4050369800,4050116500,4050116800,1,107,000,-,노을해안로,0,0,0,30,0,0,0,0,2491.53703327668,20230519,,,
