,Id,NODE_TYPE,NODE_NAME,TURN_P,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK,latitude,longitude
199974,4050168900,101,고성리914-6,0,20230519,,,,33.436810180333914,126.42392787221601
199975,4050169000,104,고성리914-6,0,20230519,,,,33.4365503918537,126.42397057087406
199976,4050170600,101,광령리2289-2,0,20230519,,,,33.45934670006127,126.43100437627784
199977,4050207000,101,종달초등학교,0,20230519,,,,33.49272914569071,126.89638869513398
199978,4050207500,105,제주시-서귀포시,0,20230519,,,,33.483040178972644,126.8981046367866
199979,4050208000,101,종달두문포교차로,0,20230519,,,,33.49650585781607,126.90971280333605
199980,4060000500,101,시청입구교차로,1,20230519,,,,33.24994869967479,126.50566368519938
199981,4060000807,101,도순동1368,1,20230519,,,,33.2523521439622,126.47683828012487
199982,4060005400,101,효례교,0,20230519,,,,33.26363630346629,126.6248671285974
199983,4060005601,101,신효동1544,1,20230519,,,,33.26403807511074,126.61221931333866
199984,4060005801,101,예전타운,0,20230519,,,,33.26202500084953,126.41435977996652
199985,4060076100,102,서홍동2565,0,20230519,,,,33.269837297455084,126.54759536494412
200163,4050000201,101,어리목입구,0,20230519,,,,33.391210491773066,126.48357538650485
200164,4050000601,101,봉개동산78-1,1,20230519,,,,33.42215830378225,126.62178482318426
200165,4050003102,104,오봉교,0,20230519,,,,33.47505427303028,126.5270668232721
200166,4050004001,103,속성변화점,0,20230519,,,,33.47526786643914,126.54516460480492
200175,4050164700,104,유수암교,0,20230519,,,,33.44930697227989,126.40621704956673
200176,4050165700,101,상귀교차로,1,20230519,,,,33.47339015370358,126.40912884584606
200177,4050180100,101,대흘초교삼거리,0,20230519,,,,33.49870057240444,126.65890719937194
200178,4050180700,102,이기풍선교기념관,0,20230519,,,,33.45623342707048,126.6608777986664
200179,4050180900,101,플레이남양주별내점,0,20230519,,,,33.45561417909734,126.66196048002503
200180,4050181900,101,함덕리1269-7,0,20230519,,,,33.5420156832033,126.665116767707
200181,4050182000,101,대흘리산23-5,1,20230519,,,,33.47006350906819,126.66576062247869
200182,4060010300,101,산록남로교차로,0,20230519,,,,33.29189245980691,126.55617066822349
200183,4060010601,104,제4산록교,0,20230519,,,,33.28986081291908,126.48740889886184
200184,4060010606,104,제6산록교,0,20230519,,,,33.291358503066675,126.514456562174
200185,4060010800,101,공원묘지입구,0,20230519,,,,33.29422130383643,126.4214046980939
200186,4060015301,101,서귀동961,0,20230519,,,,33.243875693920025,126.5641450382894
200187,4060093400,101,무릉보건진료소앞,0,20230519,,,,33.27460469306874,126.23414181907758
200188,4060113400,105,제주시-서귀포시,0,20230519,,,,33.332687554521335,126.32939519823331
200189,4060113600,101,안덕119센터4가교차로,0,20230519,,,,33.251610427248046,126.33047540082357
200190,4060113800,101,안덕119센터4가앞교차로,0,20230519,,,,33.250781114967886,126.33078200149981
200198,4060143700,101,의귀교차로,0,20230519,,,,33.308149898632095,126.71709415851619
200199,4060144900,101,산하동교차로,0,20230519,,,,33.30111398094117,126.71961616529298
200200,4060166000,101,카페가드니아,0,20230519,,,,33.31751086130154,126.82905499704671
200202,4060173800,102,난산리162-4,0,20230519,,,,33.3927616425276,126.87314221417193
201790,4060136200,101,삼진전기공사,0,20230519,,,,33.312856092764605,126.69360474321167
201791,4060138300,101,제남도서관,0,20230519,,,,33.27893777068271,126.70451029910613
201792,4060139600,101,남원리2490,0,20230519,,,,33.279412569072484,126.70912894323631
201793,4060139900,104,서중교,0,20230519,,,,33.30276754258966,126.7103873026975
201794,4060141400,101,남원리2490-116,0,20230519,,,,33.277716694555465,126.71356995950556
201805,4060147800,101,태흥리1771-3,0,20230519,,,,33.28207600565597,126.72859313597017
201806,4060148500,101,신흥리2490,0,20230519,,,,33.31484054430874,126.73415331577945
201807,4060149400,104,태흥교,0,20230519,,,,33.280800202805004,126.73916211034492
201808,4060151200,101,SY테크,1,20230519,,,,33.28903178572983,126.74625162139075
201809,4060151600,101,신흥보건진료소,0,20230519,,,,33.31950952245004,126.74798804287082
201810,4060151900,104,송천교,0,20230519,,,,33.34444868802472,126.75050612331654
201811,4060155300,101,가시청년회,0,20230519,,,,33.352875114470756,126.77140610836445
201812,4060155400,104,성읍2교,0,20230519,,,,33.40891282630748,126.7725180994302
201813,4060159700,101,작은정원,0,20230519,,,,33.39345753743022,126.79856761027823
201814,4060160600,101,세화리2489,0,20230519,,,,33.33222036583439,126.80060036598243
201815,4060160700,101,성읍민속마을,0,20230519,,,,33.391931741508195,126.80051135490258
201860,4060161600,101,금녀수산,0,20230519,,,,33.39265889026152,126.80135011380393
201921,4060162300,101,성읍리3305,0,20230519,,,,33.39293130976897,126.80238992318522
201922,4060163300,104,가마교,0,20230519,,,,33.306979118626714,126.8058073919059
201923,4060164000,101,삼달리1992-12,0,20230519,,,,33.40375984896295,126.81371263551678
201924,4060164200,101,삼달리2149-2,0,20230519,,,,33.38753092923124,126.81453557388264
201925,4060175000,101,신산포구자연산횟집앞,0,20230519,,,,33.381842466906235,126.8804097046199
201926,4060175800,103,속성변화점,0,20230519,,,,33.44582265176299,126.88683989944589
201927,4060179100,101,고성리1787-1,0,20230519,,,,33.43382156698524,126.90524062930923
201928,4060182200,101,동남고추상회,0,20230519,,,,33.45064721374304,126.91464910701961
201929,4060183800,101,고성리296-2,1,20230519,,,,33.44976076933623,126.92029395372197
